chr1	4807893	+
chr1	4857694	+
chr1	4858328	+
chr1	4884322	+
chr1	5083086	+
chr1	5588493	+
chr1	5596518	+
chr1	6214662	+
chr1	6234229	+
chr1	6240970	+
chr1	6262834	+
chr1	6270678	+
chr1	6359331	+
chr1	6487231	+
chr1	6692282	+
chr1	6730051	+
chr1	7088920	+
chr1	7160085	+
chr1	9545408	+
chr1	9548046	+
chr1	9601267	+
chr1	9747648	+
chr1	9798130	+
chr1	9848281	+
chr1	9848397	+
chr1	9895427	+
chr1	9908638	+
chr1	10038218	+
chr1	10039773	+
chr1	10045076	+
chr1	10046493	+
chr1	10993465	+
chr1	11098463	+
chr1	11140691	+
chr1	11263963	+
chr1	11414105	+
chr1	11596151	+
chr1	12425986	+
chr1	12667563	+
chr1	12692430	+
chr1	12718545	+
chr1	12842649	+
chr1	13668771	+
chr1	14756195	+
chr1	15312452	+
chr1	15805646	+
chr1	16105882	+
chr1	16657552	+
chr1	16665191	+
chr1	16688456	+
chr1	17145373	+
chr1	17168405	+
chr1	17601901	+
chr1	17727052	+
chr1	17727417	+
chr1	19103022	+
chr1	19208914	+
chr1	19212054	+
chr1	19213927	+
chr1	19284789	+
chr1	20356454	+
chr1	20669882	+
chr1	20679010	+
chr1	20730905	+
chr1	20803012	+
chr1	20890622	+
chr1	20917840	+
chr1	20934624	+
chr1	20951626	+
chr1	21166498	+
chr1	21218575	+
chr1	21240585	+
chr1	21349677	+
chr1	21368331	+
chr1	21370573	+
chr1	21383556	+
chr1	23272269	+
chr1	23291701	+
chr1	23761926	+
chr1	24177610	+
chr1	24195203	+
chr1	24678544	+
chr1	24678918	+
chr1	25934308	+
chr1	27392076	+
chr1	27884046	+
chr1	29421488	+
chr1	30770332	+
chr1	31176435	+
chr1	31222839	+
chr1	31264847	+
chr1	32067646	+
chr1	32172806	+
chr1	33482357	+
chr1	33482403	+
chr1	33669824	+
chr1	33719896	+
chr1	33720419	+
chr1	33908225	+
chr1	34005883	+
chr1	34006150	+
chr1	34011825	+
chr1	34117359	+
chr1	34121582	+
chr1	34160330	+
chr1	34215269	+
chr1	34287187	+
chr1	34290359	+
chr1	34439829	+
chr1	34459746	+
chr1	34472736	+
chr1	34498430	+
chr1	34535648	+
chr1	34579693	+
chr1	34586682	+
chr1	34600808	+
chr1	34601098	+
chr1	34601467	+
chr1	34602442	+
chr1	34606235	+
chr1	34606378	+
chr1	34678188	+
chr1	34721924	+
chr1	34801722	+
chr1	34849959	+
chr1	35879845	+
chr1	36068400	+
chr1	36307733	+
chr1	36372291	+
chr1	36385438	+
chr1	36416873	+
chr1	36471597	+
chr1	36473952	+
chr1	36511876	+
chr1	36518952	+
chr1	36691487	+
chr1	36714538	+
chr1	36761798	+
chr1	36764515	+
chr1	36766934	+
chr1	36778984	+
chr1	36779654	+
chr1	37029316	+
chr1	37157333	+
chr1	37175486	+
chr1	37218278	+
chr1	37219205	+
chr1	37299838	+
chr1	37299893	+
chr1	37369217	+
chr1	37430172	+
chr1	37430186	+
chr1	37865299	+
chr1	37872206	+
chr1	37874865	+
chr1	37890553	+
chr1	37998010	+
chr1	38384949	+
chr1	38939149	+
